customer_id,churn,tenure,monthly_charges,total_charges,contract,payment_method,feedback,sentiment,topic
CUST001,True,12,3000000.0,36000000.0,one year,credit card,Love the variety of flowers!,positive,bouquet preferences
CUST002,True,4,3505000.0,14200000.0,month-to-month,electronic check,Delivery was often late,negative,delivery issues
CUST003,False,20,29990000.0,59908000.0,two year,bank transfer,Great service and quality,positive,general feedback
CUST004,True,2,3200000.0,6400000.0,month-to-month,mailed check,Not enough variety,negative,bouquet preferences
CUST005,True,15,2805000.0,42705000.0,one year,credit card,Beautiful arrangements every time,positive,general feedback
CUST006,True,3,3000000.0,9000000.0,month-to-month,electronic check,Prices are too high,negative,price complaints
CUST007,False,18,27990000.0,503820.0,one year,bank transfer,Always on time and fresh,positive,delivery quality
CUST008,True,5,3100000.0,15500000.0,month-to-month,credit card,Flowers didn't last long,negative,product quality
CUST009,False,22,2605000.0,58300000.0,two year,mailed check,I recommend to all my friends,positive,general feedback
CUST010,True,1,34990000.0,34990000.0,month-to-month,electronic check,"When I come to the store, customer service was respons really good ",positive,customer service
CUST011,False,30,2500000.0,75000000.0,two year,bank transfer,Exceptional quality every month,positive,product quality
CUST012,True,6,3300000.0,19800000.0,month-to-month,credit card,Not satisfied with the selection,negative,bouquet preferences
CUST013,False,14,2905000.0,41300000.0,one year,mailed check,Reliable and worth it,positive,general feedback
CUST014,True,8,3500000.0,28000000.0,month-to-month,electronic check,Flowers wilted quickly,negative,product quality
CUST015,False,25,2700000.0,67500000.0,two year,bank transfer,So happy with the bouquets,positive,general feedback
CUST016,True,9,3105000.0,28305000.0,month-to-month,credit card,Didn't like the arrangements,negative,bouquet preferences
CUST017,False,16,2800000.0,44800000.0,one year,mailed check,Always fresh and beautiful,positive,product quality
CUST018,True,7,3005000.0,21305000.0,month-to-month,electronic check,Too expensive for the quality,negative,price complaints
CUST019,False,19,26990000.0,512810.0,one year,bank transfer,Great variety each month,positive,bouquet preferences
CUST020,True,10,3200000.0,32000000.0,month-to-month,credit card,Delivery issues multiple times,negative,delivery issues
CUST021,False,27,2505000.0,68805000.0,two year,mailed check,Flowers are always stunning,positive,product quality
CUST022,True,11,3305000.0,36805000.0,month-to-month,electronic check,Not worth the price,negative,price complaints
CUST023,False,17,2705000.0,46705000.0,one year,bank transfer,Happy with the service,positive,general feedback
